itemId,title,genres
55,Brave New World,Classics|Fiction|Science Fiction|Science Fiction|Dystopia|Literature|Novels|Academic|School|Fantasy|Science Fiction Fantasy|Philosophy
56,Breaking Dawn,Young Adult|Fantasy|Romance|Paranormal|Vampires|Fiction
57,The Secret Life of Bees,Fiction|Historical|Historical Fiction|Young Adult|Adult Fiction
58,The Adventures of Huckleberry Finn,
59,Charlotte's Web,
60,The Curious Incident of the Dog in the Night-Time,Fiction|Mystery|Young Adult|Contemporary
61,The Girl on the Train,Fiction|Mystery|Thriller|Mystery|Crime
62,Northern Lights,Fantasy|Young Adult|Fiction
63,Wuthering Heights,
64,My Sister's Keeper,Fiction|Contemporary|Womens Fiction|Chick Lit
65,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",
66,Gone with the Wind,Classics|Historical|Historical Fiction|Fiction|Romance|Historical
67,A Thousand Splendid Suns,Fiction|Historical|Historical Fiction
68,The Perks of Being a Wallflower,Young Adult|Fiction|Contemporary
69,Insurgent,Young Adult|Science Fiction|Dystopia|Fiction|Fantasy
70,Ender's Game,Science Fiction|Fiction|Young Adult|Fantasy
71,"Frankenstein; or, The Modern Prometheus",
72,The Shining,Horror|Fiction|Thriller
73,The Host,Science Fiction|Fiction|Young Adult|Science Fiction|Dystopia|Fantasy|Paranormal|Science Fiction|Aliens
74,Looking for Alaska,Young Adult|Fiction|Contemporary|Romance
75,Bridget Jones's Diary ,
76,Sense and Sensibility,
77,Holes,
78,The Devil Wears Prada,Womens Fiction|Chick Lit|Fiction|Contemporary|Romance
79,Ὀδύσσεια,
80,Le Petit Prince,
81,The Glass Castle,Nonfiction|Autobiography|Memoir|Biography
82,Into the Wild,Nonfiction|Biography|Adventure|Travel
83,A Tale of Two Cities,
85,The Giving Tree,Childrens|Childrens|Picture Books|Classics|Fiction
86,A Time to Kill,Fiction|Mystery|Thriller|Mystery|Crime|Suspense
87,Un di Velt Hot Geshvign,
88,Paper Towns,Young Adult|Contemporary|Fiction|Romance
89,The Princess Bride,Fantasy|Fiction|Classics|Romance|Humor|Young Adult
90,The Outsiders,Classics|Young Adult|Fiction|Academic|School
91,The Maze Runner,Young Adult|Science Fiction|Dystopia|Science Fiction
92,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,
93,The Secret Garden,Classics|Fiction|Childrens|Young Adult|Historical|Historical Fiction|Childrens|Middle Grade|Literature|Fantasy|Historical|Novels
94,Cien años de soledad,
95,The Picture of Dorian Gray,
96,Fifty Shades Freed,Adult Fiction|Erotica|Fiction|Erotica|Bdsm|Adult|Contemporary|Romance|Womens Fiction|Chick Lit|Romance|Contemporary Romance|Romance|Erotic Romance|New Adult
97,Dracula,
98,Flickan som lekte med elden,
99,Fifty Shades Darker,Romance|Adult Fiction|Erotica|Fiction|Erotica|Bdsm|Adult
100,The Poisonwood Bible,Fiction|Historical|Historical Fiction|Cultural|Africa|Classics
101,Me Talk Pretty One Day,Nonfiction|Humor|Autobiography|Memoir|Writing|Essays|Short Stories
102,Where the Wild Things Are,Childrens|Childrens|Picture Books|Fiction|Classics
103,Le Comte de Monte-Cristo,
104,The Road,Fiction|Science Fiction|Science Fiction|Dystopia|Apocalyptic|Post Apocalyptic
105,Allegiant,Young Adult|Science Fiction|Dystopia|Fiction|Science Fiction
106,Bossypants,Nonfiction|Humor|Autobiography|Memoir|Biography|Audiobook
107,A Walk to Remember,Romance|Fiction|Womens Fiction|Chick Lit|Young Adult|Contemporary
108,Confessions of a Shopaholic,Womens Fiction|Chick Lit|Humor|Funny|Adult Fiction|Romance|Contemporary Romance
109,Les Misérables,
110,A Clash of Kings,Fantasy|Fiction|Fantasy|Epic Fantasy|Science Fiction Fantasy
111,The Memory Keeper's Daughter,Fiction|Contemporary|Adult Fiction|Adult
112,Me Before You,Romance|Fiction|Contemporary|Womens Fiction|Chick Lit
113,Catch-22,Classics|Fiction|War|Historical|Historical Fiction|Humor
114,Tuesdays with Morrie,
115,Middlesex,Fiction|Historical|Historical Fiction|Contemporary
116,The Adventures of Tom Sawyer,
117,A Wrinkle in Time,Fantasy|Young Adult|Fiction|Classics|Science Fiction|Childrens
118,The Joy Luck Club,Fiction|Historical|Historical Fiction|Classics|Cultural|China|Contemporary
119,The Handmaid's Tale,Fiction|Classics|Science Fiction|Dystopia|Science Fiction|Feminism
120,The Sisterhood of the Traveling Pants,Young Adult|Fiction|Womens Fiction|Chick Lit|Contemporary
121,Lolita,
122,Wicked: The Life and Times of the Wicked Witch of the West,
123,The Firm,
124,Room,Fiction|Contemporary|Adult|Adult Fiction
125,"The Tragicall Historie of Hamlet, Prince of Denmark",
126,Dune,Science Fiction|Fiction|Fantasy|Classics
127,The Tipping Point: How Little Things Can Make a Big Difference,Nonfiction|Business|Psychology|Sociology|Science
128,Steve Jobs,Biography|Nonfiction|Business
129,One Flew Over the Cuckoo's Nest,Classics|Fiction|Literature|Psychology
130,The Old Man and the Sea,Classics|Fiction|Literature|Novels|Literature|American|Academic|School|Adventure|Classics|Classic Literature|Literature|20th Century|Literary Fiction
131,The Grapes of Wrath,Classics|Fiction|Historical|Historical Fiction|Literature
132,The Five People You Meet in Heaven,Fiction|Inspirational|Contemporary|Fantasy
133,Anne of Green Gables,Classics|Fiction|Young Adult|Childrens|Historical|Historical Fiction|Historical|Cultural|Canada|Childrens|Middle Grade|Audiobook|Young Adult|Coming Of Age
134,City of Glass,Fantasy|Young Adult|Fantasy|Paranormal|Romance
135,A Storm of Swords,Fantasy|Fiction|Fantasy|Epic Fantasy|Science Fiction Fantasy
136,Divine Secrets of the Ya-Ya Sisterhood,Fiction|Womens Fiction|Chick Lit|Contemporary|Adult Fiction
137,Outlander,Historical|Historical Fiction|Romance|Fantasy|Fiction|Science Fiction|Time Travel|Historical|Romance|Historical Romance
138,The Scarlet Letter,
139,Miss Peregrine’s Home for Peculiar Children,Fantasy|Young Adult|Fiction|Fantasy|Paranormal
140,Luftslottet som sprängdes,
141,The Martian,Science Fiction|Fiction
142,The Pillars of the Earth,Historical|Historical Fiction|Fiction|Historical
143,All the Light We Cannot See,Historical|Historical Fiction|Fiction|Historical|War
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Nonfiction|History|Biography|War|War|World War II
145,Deception Point,Fiction|Thriller|Mystery|Suspense
146,The Goldfinch,Fiction|Contemporary|Literary Fiction
147,Thirteen Reasons Why,Young Adult|Contemporary|Fiction|Realistic Fiction
148,Girl with a Pearl Earring,Historical|Historical Fiction|Fiction|Historical|Classics|Art
149,If I Stay,Young Adult|Romance|Contemporary|Fiction
150,The Red Tent,Historical|Historical Fiction|Fiction|Christian|Literature
151,The Sea of Monsters,Fantasy|Young Adult|Fantasy|Mythology|Fiction
152,Dear John,Romance|Fiction|Womens Fiction|Chick Lit|Contemporary
153,City of Ashes,Fantasy|Young Adult|Fantasy|Paranormal|Romance
154,The Tragedy of Macbeth,
155,The Two Towers,Fantasy|Fiction|Classics|Adventure
156,Something Borrowed,Womens Fiction|Chick Lit|Romance|Fiction|Contemporary
157,Green Eggs and Ham,
158,Charlie and the Chocolate Factory,
159,The Battle of the Labyrinth,Fantasy|Young Adult|Fantasy|Mythology
160,Great Expectations,Classics|Fiction|Literature|Historical|Historical Fiction
161,The Return of the King,Fantasy|Fiction|Classics|Adventure
162,L’Étranger,
163,The Lost Hero,Fantasy|Young Adult|Fantasy|Mythology
164,Eleanor & Park,Young Adult|Romance|Contemporary|Fiction
165,A Feast for Crows,Fantasy|Fiction|Fantasy|Epic Fantasy
166,Matched,Young Adult|Science Fiction|Dystopia|Romance
167,American Gods,Fantasy|Fiction|Fantasy|Urban Fantasy|Fantasy|Mythology|Science Fiction
168,The Stand,
169,The Last Song,Romance|Fiction|Womens Fiction|Chick Lit|Young Adult|Contemporary
170,Digital Fortress,Fiction|Thriller|Mystery|Suspense
171,Emma,
172,Анна Каренина,
173,A Clockwork Orange,Classics|Fiction|Science Fiction|Science Fiction|Dystopia
174,The Shack: Where Tragedy Confronts Eternity,
175,The Last Olympian,Fantasy|Young Adult|Fantasy|Mythology
176,It,Horror|Fiction|Fantasy
177,Преступление и наказание,
178,The Bell Jar,Classics|Fiction|Feminism
179,Angela's Ashes: A Memoir,
180,Siddhartha,
181,In Cold Blood,Nonfiction|Classics|Crime|True Crime|Mystery|Crime|Mystery
182,Beautiful Creatures,
183,Clockwork Angel,Fantasy|Young Adult|Fantasy|Paranormal|Science Fiction|Steampunk|Romance
184,Matilda,
185,The Night Circus,Fantasy|Fiction|Romance|Historical|Historical Fiction
186,The Other Boleyn Girl,Historical|Historical Fiction|Fiction|Historical|Romance
187,Uglies,Young Adult|Science Fiction|Dystopia|Science Fiction
188,A Dance with Dragons,Fantasy|Fiction|Fantasy|Epic Fantasy
189,The Lord of the Rings,Fantasy|Classics|Fiction
190,Wild: From Lost to Found on the Pacific Crest Trail ,
191,Watchmen,
192,The Name of the Wind,Fantasy|Fiction|Fantasy|Epic Fantasy
193,Outliers: The Story of Success,Nonfiction|Psychology|Business|Economics
194,"Moby Dick; or, The Whale",
195,The Guernsey Literary and Potato Peel Pie Society,
196,Fight Club,Fiction|Contemporary|Classics|Thriller
197,Dead Until Dark,Fantasy|Paranormal|Vampires|Fantasy|Paranormal|Fantasy|Urban Fantasy|Romance|Fiction|Mystery
198,The Color Purple,Classics|Fiction|Historical|Historical Fiction|Feminism
199,Marley & Me: Life and Love with the World's Worst Dog,
200,Ten Little Niggers,
201,The Lost Symbol,Fiction|Mystery|Thriller
202,"Hush, Hush",Young Adult|Fantasy|Fantasy|Paranormal|Paranormal|Angels|Romance
203,Beautiful Disaster,Romance|New Adult|Contemporary|Young Adult|Romance|Contemporary Romance
204,A Christmas Carol,Classics|Fiction|Holiday|Christmas|Fantasy
205,Interview with the Vampire,Horror|Fantasy|Fiction|Paranormal|Vampires|Fantasy|Paranormal
206,The Selection,Young Adult|Romance|Science Fiction|Dystopia|Fantasy
207,One for the Money,Mystery|Fiction|Womens Fiction|Chick Lit|Humor|Romance
208,The Immortal Life of Henrietta Lacks,Nonfiction|Science|Biography|History|Health|Medicine
209,The Silence of the Lambs,
210,Vampire Academy ,
211,Blink: The Power of Thinking Without Thinking,Nonfiction|Psychology|Business|Science|Self Help
212,Atonement,Fiction|Historical|Historical Fiction|Romance|Classics|Historical
213,Die Verwandlung,
214,The Titan's Curse,Fantasy|Young Adult|Fantasy|Mythology|Fiction
215,Ready Player One,Science Fiction|Fiction|Young Adult|Science Fiction|Dystopia|Fantasy
216,The Art of Racing in the Rain,Fiction|Animals|Animals|Dogs|Contemporary|Adult Fiction
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",
218,Bared to You,Romance|Adult Fiction|Erotica|Contemporary|Adult|Romance|Contemporary Romance
219,The Chronicles of Narnia,
220,Twilight: The Complete Illustrated Movie Companion,Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal
221,"A Child Called ""It"": One Child's Courage to Survive",
222,The Bourne Identity,Fiction|Thriller|Mystery|Suspense|Spy Thriller|Espionage
223,Artemis Fowl,Fantasy|Young Adult|Fiction|Childrens
224,Fallen,Young Adult|Fantasy|Paranormal|Angels|Fantasy|Paranormal|Romance
225,East of Eden  ,
226,Dark Places,Mystery|Fiction|Thriller|Mystery|Crime|Thriller|Mystery Thriller
227,The Client,Fiction|Mystery|Thriller|Mystery|Crime|Suspense
228,The Nanny Diaries,
229,Alice's Adventures in Wonderland,
230,Persuasion,
231,Elle s'appelait Sarah,
232,The Gunslinger,Fantasy|Fiction|Horror|Science Fiction
233,El amor en los tiempos del cólera,
234,Speak,Young Adult|Fiction|Contemporary|Realistic Fiction
235,The Husband's Secret ,
236,Into Thin Air: A Personal Account of the Mt. Everest Disaster,
237,Carrie,Horror|Fiction|Thriller|Fantasy|Paranormal
238,Running with Scissors,Autobiography|Memoir|Nonfiction|Biography|Humor
239,World War Z: An Oral History of the Zombie War,Horror|Fiction|Horror|Zombies|Science Fiction|Fantasy|Apocalyptic|Post Apocalyptic
240,Inferno,Fiction|Mystery|Thriller|Historical|Historical Fiction
241,Number the Stars,Historical|Historical Fiction|Young Adult|Fiction|Classics|Childrens|Historical|World War II|Holocaust
242,Along Came a Spider,Mystery|Fiction|Thriller|Mystery|Crime|Suspense
243,Misery,Horror|Fiction|Thriller
244,Sharp Objects,Mystery|Fiction|Thriller|Mystery|Crime|Thriller|Mystery Thriller
245,Bridge to Terabithia,Young Adult|Fiction|Childrens|Fantasy|Classics
246,Marked,
247,The 7 Habits of Highly Effective People,
248,A Midsummer Night's Dream,
249,Extremely Loud and Incredibly Close,Fiction|Contemporary|Historical|Historical Fiction
250,Wonder,Young Adult|Fiction|Realistic Fiction|Contemporary|Childrens|Middle Grade
251,The Cat in the Hat,Childrens|Childrens|Picture Books|Classics|Fiction
252,Cinder,Young Adult|Fantasy|Science Fiction|Science Fiction|Dystopia
253,The Cuckoo's Calling,
254,Shiver,Young Adult|Fantasy|Romance|Fantasy|Paranormal|Shapeshifters|Werewolves
255,Atlas Shrugged,
256,Three Cups of Tea ,
257,Alice in Wonderland,
258,La sombra del viento,
259,The Scorch Trials,Young Adult|Science Fiction|Dystopia|Science Fiction
260,How to Win Friends and Influence People,Nonfiction|Self Help|Business|Psychology|Self Help|Personal Development
261,Under the Tuscan Sun,Travel|Nonfiction|Autobiography|Memoir|Cultural|Italy
262,Big Little Lies,Fiction|Mystery|Contemporary|Womens Fiction|Chick Lit|Adult
263,Ella Enchanted,Fantasy|Young Adult|Fiction|Romance|Fantasy|Fairy Tales|Childrens
264,The Sun Also Rises,Classics|Fiction|Literature|Novels
265,A Tree Grows In Brooklyn ,
266,Kiss the Girls,Mystery|Fiction|Thriller|Mystery|Crime|Suspense|Thriller|Mystery Thriller|Mystery|Detective|Adult|Mystery|Murder Mystery|Adult Fiction
267,The Nightingale,Historical|Historical Fiction|Fiction|Historical|War|World War II|War
268,Never Let Me Go,Fiction|Science Fiction|Science Fiction|Dystopia
269,"PS, I Love You",
270,Rebecca,
271,Flowers for Algernon,Fiction|Classics|Science Fiction|Young Adult
272,Como agua para chocolate,
273,Snow Flower and the Secret Fan,Historical|Historical Fiction|Fiction|Cultural|China|Historical|Cultural|Asia
274,The Godfather,
275,An Abundance of Katherines,Young Adult|Contemporary|Fiction|Romance
276,Foundation,Science Fiction|Fiction|Classics
277,The Ocean at the End of the Lane,Fiction|Fantasy|Horror|Magical Realism|Audiobook
278,A Light in the Attic,Poetry|Childrens|Classics
279,"Harry Potter and the Cursed Child, Parts One and Two",
280,Delirium,Young Adult|Science Fiction|Dystopia|Romance
281,The Pelican Brief,Fiction|Mystery|Thriller|Suspense|Mystery|Crime|Thriller|Legal Thriller|Thriller|Mystery Thriller|Law|Novels|Adult Fiction
282,Coraline,Fantasy|Young Adult|Fiction|Horror|Childrens
283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",
284,On the Road,Classics|Fiction|Travel|Literature
285,The Rosie Project,Fiction|Romance|Contemporary|Humor|Womens Fiction|Chick Lit
286,The Lucky One,Romance|Fiction|Womens Fiction|Chick Lit|Contemporary|Adult
287,The Fountainhead,
288,The Hunt for Red October,Fiction|Thriller|War|Military Fiction|Suspense|Mystery
289,Watership Down,
290,Is Everyone Hanging Out Without Me? (And Other Concerns),Nonfiction|Humor|Autobiography|Memoir|Biography|Audiobook|Humor|Comedy|Humor|Funny|Biography|Autobiography|Writing|Essays|Biography Memoir
291,Cutting for Stone,Fiction|Historical|Historical Fiction|Cultural|Africa|Book Club|Eastern Africa|Ethiopia|Health|Medicine
292,The Voyage of the Dawn Treader,
293,Treasure Island,Classics|Fiction|Adventure|Young Adult
294,The Son of Neptune ,
295,11/22/63,
296,The Very Hungry Caterpillar,Childrens|Picture Books|Childrens
297,Cat's Cradle,
298,The Time Machine,
299,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,
300,The Boy in the Striped Pyjamas,Historical|Historical Fiction|Fiction|Young Adult|Historical|World War II|Holocaust
301,Heart of Darkness,Classics|Fiction|Literature|Cultural|Africa|Academic|School
302,Safe Haven,Romance|Fiction|Womens Fiction|Chick Lit|Contemporary
303,The Secret,Self Help|Nonfiction|Spirituality|Psychology
304,I Know This Much Is True ,
305,Pet Sematary,Horror|Fiction|Thriller|Fantasy|Fantasy|Paranormal|Fantasy|Supernatural|Suspense|Adult|Horror|Zombies|Mystery
306,She's Come Undone,Fiction|Contemporary|Womens Fiction|Chick Lit
307,The Wise Man's Fear,Fantasy|Fiction|Fantasy|Epic Fantasy
308,Can You Keep a Secret?,Womens Fiction|Chick Lit|Romance|Fiction|Contemporary|Humor
309,City of Fallen Angels,Fantasy|Young Adult|Fantasy|Paranormal|Romance|Fantasy|Urban Fantasy|Paranormal|Vampires|Paranormal|Angels|Fiction|Fantasy|Supernatural|Fantasy|Magic
310,Good in Bed,Womens Fiction|Chick Lit|Fiction|Romance|Contemporary
311,The Thorn Birds,Fiction|Historical|Historical Fiction|Romance|Classics|Cultural|Australia|Historical
312,The Graveyard Book,
313,The Light Between Oceans,Fiction|Historical|Historical Fiction|Cultural|Australia|Historical|Book Club
314,Tintenherz,
315,Who Moved My Cheese?,
316,A Walk in the Woods,Nonfiction|Travel|Humor|Autobiography|Memoir|Environment|Nature|Adventure
317,I Know Why the Caged Bird Sings,Nonfiction|Classics|Autobiography|Memoir|Biography|Biography|Autobiography
318,Orphan Train,Historical|Historical Fiction|Fiction|Historical|Book Club
319,City of Lost Souls,Fantasy|Young Adult|Fantasy|Paranormal|Romance
320,"Where'd You Go, Bernadette",Fiction|Humor|Contemporary|Mystery|Womens Fiction|Chick Lit
321,Where the Red Fern Grows,Classics|Fiction|Young Adult|Childrens
322,Neverwhere,Fantasy|Fiction|Fantasy|Urban Fantasy|Science Fiction Fantasy
323,Nesnesitelná lehkost bytí,
324,Fangirl,Young Adult|Contemporary|Romance|Fiction
325,A Prayer for Owen Meany,Fiction|Classics|Literature|Contemporary
326,White Oleander,Fiction|Contemporary|Womens Fiction|Chick Lit
327,Legend,Young Adult|Romance|Fantasy|Science Fiction|Fiction
328,Nineteen Minutes,Fiction|Contemporary|Womens Fiction|Chick Lit
329,The Last Lecture,
330,The Eye of the World,Fantasy|Fiction|Fantasy|Epic Fantasy|Science Fiction Fantasy
331,The Pact,Fiction|Romance|Contemporary|Womens Fiction|Chick Lit
332,The magician's nephew,
333,Still Alice,Fiction|Contemporary|Psychology|Book Club
334,Reflected in You,Romance|Adult Fiction|Erotica|Contemporary|Romance|Contemporary Romance|Adult
335,James and the Giant Peach,
336,1st To Die,
337,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,
338,One Day,Fiction|Romance|Contemporary|Womens Fiction|Chick Lit
339,Goodnight Moon,
340,I Am Number Four,Young Adult|Fantasy|Science Fiction
341,Ἰλιάς,
342,The Casual Vacancy,Fiction|Contemporary|Abandoned|Mystery
343,The Runaway Jury,Fiction|Thriller|Mystery|Thriller|Legal Thriller
344,Naked,Humor|Nonfiction|Autobiography|Memoir|Writing|Essays|Short Stories
345,Eldest,Fantasy|Young Adult|Fantasy|Dragons|Fiction
346,The Wonderful Wizard of Oz,
347,Prince Caspian: The Return to Narnia,
348,We Were Liars,Young Adult|Contemporary|Mystery|Fiction|Romance
349,Salem's Lot,
350,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,
351,Clockwork Prince,Fantasy|Young Adult|Romance|Fantasy|Paranormal|Science Fiction|Steampunk
352,Yes Please,Nonfiction|Autobiography|Memoir|Humor|Audiobook|Biography
353,"The Tragedy of Othello, The Moor of Venice",
354,Beloved,Fiction|Classics|Historical|Historical Fiction|Literature|Magical Realism
355,Graceling,Fantasy|Young Adult|Romance|Fiction
356,The Bad Beginning,
357,Im Westen nichts Neues,
358,"Oh, the Places You'll Go!",
359,And The Mountains Echoed,
360,Do Androids Dream of Electric Sheep?,
361,Oliver Twist,
362,A Grief Observed,Nonfiction|Christian|Religion|Religion|Christianity|Religion|Theology|Autobiography|Memoir|Classics|Biography|Philosophy|Religion|Faith
363,Anna and the French Kiss,Young Adult|Romance|Contemporary|Womens Fiction|Chick Lit
364,How the Grinch Stole Christmas!,Childrens|Childrens|Picture Books|Classics|Holiday|Christmas|Fiction|Holiday|Fantasy|Poetry|Humor|Kids
365,V for Vendetta,
366,John Adams,History|Biography|Nonfiction|North American Hi...|American History|Politics|Presidents
367,Odd Thomas,Horror|Fiction|Mystery|Fantasy|Thriller|Fantasy|Paranormal
368,The Subtle Knife,Fantasy|Young Adult|Fiction
369,Stargirl,Young Adult|Fiction|Realistic Fiction|Romance|Contemporary
370,The Red Pyramid,Fantasy|Young Adult|Fantasy|Mythology
371,Stranger in a Strange Land,Science Fiction|Fiction|Classics|Science Fiction Fantasy
372,Dress Your Family in Corduroy and Denim,Humor|Nonfiction|Autobiography|Memoir|Writing|Essays|Short Stories
373,The BFG,
374,A Short History of Nearly Everything,Nonfiction|Science|History
375,The Call of the Wild,Classics|Fiction|Adventure|Young Adult|Animals|Historical|Historical Fiction|Literature|Academic|School|Childrens|Novels
376,The Death Cure,Young Adult|Science Fiction|Dystopia|Science Fiction
377,Stardust,Fantasy
378,The Namesake,Fiction|Cultural|India|Contemporary
379,A Discovery of Witches,Fantasy|Fiction|Fantasy|Paranormal|Romance|Paranormal|Vampires|Paranormal|Witches
380,ノルウェイの森 [Noruwei no Mori],
381,Where the Heart Is,Fiction|Womens Fiction|Chick Lit|Romance|Contemporary|Adult Fiction
382,"Will Grayson, Will Grayson",
383,A Million Little Pieces,Nonfiction|Biography|Autobiography|Memoir
384,Frostbite,Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance
385,Quiet: The Power of Introverts in a World that Can't Stop Talking,
386,Island of the Blue Dolphins,Young Adult|Fiction|Historical|Historical Fiction|Classics|Childrens
387,The Crucible,
388,Hatchet,Young Adult|Fiction|Adventure|Classics|Adventure|Survival|Childrens
389,Mistborn : The Final Empire,
390,The Strange Case of Dr Jekyll and Mr Hyde,
391,The Lorax,Childrens|Childrens|Picture Books|Fiction
392,Greg Heffley's Journal,
393,Throne of Glass,Fantasy|Young Adult|Romance
394,Shadow Kiss,Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance
395,For Whom the Bell Tolls,Classics|Fiction|Literature|Historical|Historical Fiction|War
396,Hotel on the Corner of Bitter and Sweet,Historical|Historical Fiction|Fiction|Historical|Book Club|Romance|War|World War II
397,Das Parfum. Die Geschichte eines Mörders,
398,Fast Food Nation : The Dark Side of the All-American Meal ,
399,The Tales of Beedle the Bard,Fantasy|Young Adult|Fiction|Short Stories
400,Neuromancer,Science Fiction|Fiction|Science Fiction|Cyberpunk
401,A Farewell to Arms,Classics|Fiction|Historical|Historical Fiction|War|Literature
402,The Tell-Tale Heart,Classics|Short Stories|Horror|Fiction|Gothic|Academic|School
403,孫子兵法 [Sūnzi bīngfǎ],
404,Defending Jacob,Fiction|Mystery|Thriller|Mystery|Crime|Thriller|Mystery Thriller
405,Breakfast of Champions,
406,Drawing on the Right Side of the Brain,
407,Bel Canto,Fiction|Contemporary|Literary Fiction|Book Club
408,"Guns, Germs, and Steel: The Fates of Human Societies",History|Nonfiction|Science|Anthropology|Sociology|Politics|Historical|Economics|History|World History|Abandoned
409,Fried Green Tomatoes at the Whistle Stop Cafe,Fiction|Historical|Historical Fiction|Lgbt|Classics|Womens Fiction|Chick Lit|American|Southern
410,Things Fall Apart,Fiction|Classics|Cultural|Africa|Historical|Historical Fiction|Academic|School|Literature
411,The Undomestic Goddess,Womens Fiction|Chick Lit|Romance|Fiction|Contemporary
412,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction|Self Help|Relationships|Marriage|Christian|Psychology
413,Les Trois Mousquetaires,
414,The Other Hand,
415,Evermore,Young Adult|Fantasy|Fantasy|Paranormal|Romance
416,The Witches,
417,The Thirteenth Tale,Fiction|Mystery|Historical|Historical Fiction|Gothic|Writing|Books About Books
418,Spirit Bound,Young Adult|Fantasy|Paranormal|Fantasy|Paranormal|Vampires|Romance
419,Blood Promise,Young Adult|Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance
420,Message in a Bottle,Romance|Fiction|Womens Fiction|Chick Lit|Contemporary
